Title,Ratings,Production
The Hitman's Bodyguard,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '47/100'}]","['Millennium Films', 'Cristal Pictures']"
Alien: Covenant,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '65/100'}]","['20th Century Fox', 'TSG Entertainment', 'Brandywine Productions', 'Scott Free Productions']"
Captain Underpants: The First Epic Movie,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",['DreamWorks Animation']
A Bad Moms Christmas,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",['Huayi Brothers Pictures']
A Dog's Purpose,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '43/100'}]","['Amblin Entertainment', 'Reliance Entertainment', 'Walden Media', 'Pariah Entertainment']"
The Shape of Water,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '87/100'}]","['TSG Entertainment', 'Double Dare You Productions']"
The Lego Ninjago Movie,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '55/100'}]","['Warner Bros. Pictures', 'Vertigo Entertainment', 'Lin Pictures', 'Animal Logic']"
The Shack,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '32/100'}]","['Gil Netter Productions', 'Windblown Media']"
Darkest Hour,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '75/100'}]","['Perfect World Pictures', 'Working Title Films']"
Happy Death Day,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",['Blumhouse Productions']
"Three Billboards Outside Ebbing, Missouri","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '88/100'}]","['Blueprint Pictures', 'Fox Searchlight Pictures', 'Film4 Productions', 'Cutting Edge Group']"
Atomic Blonde,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '63/100'}]","['Denver and Delilah Productions', 'Closed on Mondays Entertainment', '87Eleven']"
American Made,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '65/100'}]","['Cross Creek Pictures', 'Imagine Entertainment', 'Quadrant Pictures', 'Vendian Entertainment']"
The Dark Tower,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '34/100'}]","['MRC', 'Imagine Entertainment', 'Weed Road Pictures']"
Lady Bird,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '94/100'}]","['Scott Rudin Productions', 'A24', 'Management 360', 'IAC Films']"
Snatched,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]","['Chernin Entertainment', 'Feigco Entertainment', 'TSG Entertainment']"
The Great Wall,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '42/100'}]","['Legendary East', 'Atlas Entertainment', 'China Film Group', 'Le Vision Pictures']"
Smurfs: The Lost Village,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '40/100'}]","['Columbia Pictures', 'Sony Pictures Animation', 'The Kerner Entertainment Company', 'LStar Capital', 'Wanda Pictures']"
All Eyez on Me,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '38/100'}]","['Morgan Creek Productions', 'Program Pictures', 'Codeblack Films']"
The Big Sick,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '86/100'}]","['FilmNation Entertainment', 'Apatow Productions']"
