ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2158,Equity Pictures,5.8/10,24%,34/100,4
2159,Intermedia Films,6.0/10,26%,36/100,11
2160,Global Entertainment Group,6.3/10,58%,56/100,1
2161,Millbrook Pictures,6.3/10,58%,56/100,1
2162,Onda Entertainment,6.3/10,58%,56/100,1
2163,Mandalay Independent Pictures,6.6/10,22%,39/100,1
2164,Overture Films,7.0/10,64%,6/100,1
2165,MNP Entreprise,5.6/10,6%,26/100,1
2166,Crying Box Productions,5.9/10,31%,47/100,1
2167,Dune Entertainment III,6.2/10,42%,47/100,2
2168,Ten Thirteen Productions,5.9/10,31%,47/100,1
2169,Axion Films,6.8/10,77%,64/100,1
2170,Exodus Film Group,6.0/10,37%,4/100,1
2171,Sparx Animation Studios,6.0/10,37%,4/100,1
2172,Terra Firma Films,5.9/10,14%,34/100,1
2173,Superfinger Entertainment,5.9/10,14%,34/100,1
2174,Picturehouse,6.6/10,79%,63/100,1
2175,American Girl Movies,6.6/10,79%,63/100,1
2176,Red Hour,6.0/10,51%,38/100,3
2177,Family Room Entertainment,5.9/10,5%,7/100,1
2178,Treehouse Films,6.0/10,39%,47/100,1
2179,Blue Star Entertainment,4.2/10,4%,14/100,2
2180,Liddell Entertainment,3.9/10,3%,28/100,1
2181,Thousand Words,7.3/10,68%,57/100,5
2182,"Big Idea, Inc.",5.7/10,39%,49/100,1
2183,Starz Animation,5.7/10,39%,49/100,1
2184,Deep River Productions,5.8/10,34%,31/100,4
2185,Guy Walks Into a Bar Productions,5.9/10,52%,54/100,2
2186,Tollin/Robbins Productions,5.9/10,34%,40/100,8
2187,Partizan Films,6.4/10,65%,52/100,1
2188,3ality Digital,8.4/10,93%,83/100,1
2189,Tatira Active Film,6.8/10,53%,48/100,1
2190,Zephyr Films,6.5/10,34%,42/100,2
2191,Sony Music Film,7.0/10,66%,65/100,1
2192,MHF Zweite Academy Film,5.8/10,16%,14/100,2
2193,SGF Entertainment Inc.,6.0/10,27%,3/100,1
2194,RAI Cinema,6.0/10,33%,37/100,1
2195,On My Own Produzioni Cinematografiche,6.0/10,33%,37/100,1
2196,Premise Media Corporation,3.7/10,11%,2/100,1
2197,Rampant Films,3.7/10,11%,2/100,1
2198,Level 1 Entertainment,6.4/10,22%,30/100,3
2199,Aichholzer Film,7.6/10,94%,78/100,1
2200,Magnolia Filmproduktion,7.6/10,94%,78/100,1
2201,L+E Pictures,6.4/10,63%,54/100,1
2202,ContentFilm International,7.1/10,69%,30/100,2
2203,Boll KG Productions / Herold Productions /,3.8/10,4%,5/100,1
2204,Samwilla,3.2/10,4%,4/100,2
2205,Shaler Entertainment,3.3/10,4%,5/100,3
2206,Parallel Entertainment,3.2/10,4%,7/100,1
2207,SKE,7.0/10,56%,54/100,1
