ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
534,Walt Disney Animation Studios,7.4/10,88%,53/100,10
535,Levantine Films,7.8/10,93%,74/100,1
536,Kennedy/Marshall,7.4/10,73%,66/100,3
537,Captivate Entertainment,6.7/10,56%,32/100,2
538,Pearl Street,6.6/10,55%,58/100,1
539,Bad Hat Harry Productions,7.1/10,71%,55/100,7
540,Summit Entertainment,6.8/10,57%,50/100,14
541,Impostor Pictures,8.0/10,92%,93/100,1
542,Gilbert Films,6.8/10,69%,73/100,3
543,Marc Platt Productions,6.6/10,59%,48/100,14
544,Oriental DreamWorks,7.0/10,86%,66/100,1
545,Delphi Films,5.3/10,73%,6/100,1
546,Black Rhino Productions,5.3/10,73%,6/100,1
547,Bluegrass Films,6.3/10,45%,35/100,10
548,Principato-Young Entertainment,6.2/10,61%,54/100,3
549,Jerry Weintraub Productions,6.8/10,64%,58/100,6
550,Riche/Ludwig Productions,6.3/10,37%,44/100,1
551,Beaglepug Productions,6.3/10,37%,44/100,1
552,Flashlight Films,7.5/10,86%,74/100,1
553,The Kennedy/Marshall Company,6.8/10,65%,52/100,20
554,Bill Block Media,6.2/10,58%,6/100,1
555,Suzanne Todd Productions,6.2/10,58%,6/100,1
556,Rovio Animation,6.3/10,43%,43/100,1
557,Centropolis Entertainment,6.1/10,41%,41/100,7
558,Lava Bear Films,6.0/10,48%,27/100,5
559,Start Motion Pictures,7.0/10,30%,4/100,1
560,Company Films,7.0/10,30%,4/100,1
561,Nitrogen Studios,6.2/10,82%,66/100,1
562,The Mirisch Company,6.9/10,63%,54/100,1
563,Alpha Productions,6.9/10,63%,54/100,1
564,Cube Vision,5.7/10,44%,36/100,12
565,Ghost House Pictures,5.8/10,43%,42/100,8
566,Tim Burton Productions,6.5/10,54%,52/100,4
567,Scope Pictures,7.2/10,76%,72/100,2
568,St. Petersburg Clearwater Film Commission,6.7/10,63%,57/100,1
569,Ingeniøus,6.7/10,63%,57/100,1
570,Advanced Underwriting Concepts,7.4/10,52%,5/100,1
571,RatPac Entertainment,6.4/10,47%,23/100,8
572,Zero Gravity Management,7.4/10,52%,5/100,1
573,Alibaba Pictures,6.7/10,65%,40/100,2
574,China Movie Media Group,6.0/10,37%,4/100,1
575,Gama Entertainment,5.9/10,30%,4/100,2
576,Mednick Productions,5.9/10,30%,4/100,2
577,Smithrowe Entertainment,6.0/10,37%,4/100,1
578,Roth Films,6.4/10,43%,43/100,11
579,Team Todd,6.7/10,55%,44/100,6
580,RatPac-Dune Entertainment ,6.8/10,63%,56/100,1
581,Bad Robot Productions,7.2/10,82%,64/100,10
582,Grey Matter Productions,6.3/10,76%,58/100,1
583,Demarest Films,6.8/10,74%,45/100,5
584,Pandemonium Films,8.2/10,86%,7/100,1
585,Permut Productions,8.2/10,86%,7/100,1
586,On the Day Productions,5.2/10,23%,22/100,2
587,Gramercy Pictures,6.6/10,59%,54/100,5
588,Closest to the Hole Productions,6.9/10,63%,42/100,6
589,Leverage Entertainment,6.6/10,53%,42/100,4
590,Red Hour Productions,6.4/10,52%,28/100,5
591,HBO Films,6.9/10,76%,64/100,11
592,Cruise/Wagner Productions,6.7/10,56%,46/100,17
593,Sunswept Entertainment,5.9/10,41%,45/100,12
594,Weimaraner Republic Pictures,6.3/10,78%,59/100,1
595,New Regency,5.1/10,21%,29/100,15
596,Ubisoft Motion Pictures,5.8/10,18%,36/100,1
597,DMC Film,6.2/10,49%,22/100,2
598,The Weinstein Company,6.9/10,75%,44/100,10
599,See-Saw Films,7.4/10,86%,61/100,5
600,Aquarius Films,8.0/10,86%,69/100,1
601,Sunstar Entertainment,8.0/10,86%,69/100,1
602,Cross City,8.0/10,86%,69/100,1
603,Laika,7.3/10,87%,42/100,4
604,K Period Media,7.8/10,95%,96/100,1
605,CMP,7.8/10,95%,96/100,1
606,Pearl Street Films,6.9/10,60%,67/100,3
607,The A / Middleton Project,7.8/10,95%,96/100,1
608,Blizzard Entertainment,6.9/10,27%,32/100,1
609,"China Film Co., Ltd.",6.9/10,27%,32/100,1
610,Taihe Entertainment,6.9/10,27%,32/100,1
611,Huayi Brothers,6.8/10,59%,54/100,4
612,Flower Films,6.2/10,47%,42/100,9
613,Joint Effort,7.0/10,59%,57/100,1
614,The Allegiance Theater,6.5/10,57%,55/100,1
615,Huahua Media,7.0/10,59%,6/100,1
616,ImageMovers,6.9/10,69%,36/100,10
617,Allison Shearmur Productions,6.2/10,55%,52/100,2
618,Supermarche,6.6/10,67%,58/100,1
619,Bloom,7.4/10,92%,7/100,1
620,Lipsync Productions,7.2/10,86%,64/100,6
621,BillBlock Media,5.9/10,11%,2/100,1
622,Josephson Entertainment,5.8/10,32%,32/100,4
623,QED International,6.4/10,50%,26/100,8
624,Hasbro Studios,5.9/10,45%,26/100,4
625,Living Films,5.2/10,15%,33/100,1
626,Material Pictures,6.0/10,42%,48/100,3
627,Mystery Clock Cinema,5.4/10,15%,25/100,1
628,Overbrook Entertainment,6.5/10,44%,45/100,13
629,Anonymous Content,6.9/10,60%,53/100,17
630,PalmStar Media,6.9/10,42%,44/100,2
631,Mike Zoss Productions,7.2/10,87%,49/100,7
632,Unique Features,5.4/10,12%,30/100,2
633,Pastel Productions,7.4/10,98%,99/100,1
634,Red Hawk Entertainment,6.7/10,64%,58/100,1
635,Qwerty Films,6.8/10,70%,41/100,3
636,OddLot Entertainment,6.7/10,66%,44/100,4
637,LBI Entertainment,7.3/10,82%,73/100,2
638,AI-Film,4.8/10,10%,34/100,1
639,Lightworkers Media,6.0/10,39%,44/100,3
640,Parts and Labor,6.8/10,91%,83/100,1
641,Rooks Nest Entertainment,6.8/10,90%,80/100,2
642,Maiden Voyage Pictures,6.8/10,91%,83/100,1
643,Mott Street Pictures,6.8/10,91%,83/100,1
644,Code Red Productions,6.8/10,91%,83/100,1
645,Scythia Films,6.8/10,91%,83/100,1
646,Pulse Films,6.3/10,83%,70/100,2
647,Special Projects,6.8/10,91%,83/100,1
648,Miramax,6.0/10,33%,39/100,4
649,Broadway Video,6.7/10,74%,62/100,3
650,Little Stranger,6.3/10,64%,58/100,2
651,Endgame Entertainment,6.7/10,59%,59/100,11
652,KrautPack Entertainment,7.3/10,61%,58/100,1
653,Chartoff-Winkler Productions,5.7/10,31%,38/100,1
654,Larger Than Life Productions,6.9/10,46%,53/100,1
655,Route One Films,6.6/10,46%,29/100,2
656,James Patterson Entertainment,5.5/10,35%,4/100,2
657,Forecast Pictures,7.0/10,61%,56/100,2
658,Solofilms,7.0/10,61%,56/100,2
659,Trinica,7.0/10,61%,56/100,2
660,Trinity Race,7.0/10,61%,56/100,2
661,Nicholas Sparks Productions,6.6/10,11%,26/100,1
662,Raindog Films,7.2/10,92%,76/100,2
663,Ingenious,5.6/10,23%,38/100,1
664,Media Talent Group,5.1/10,16%,28/100,3
665,Gunn Films,5.7/10,44%,38/100,6
666,Michaels-Goldwyn,5.8/10,36%,26/100,2
667,Relativity Media,6.4/10,48%,44/100,104
668,Assemblage Entertainment,3.6/10,9%,2/100,1
669,Splash Entertainment,3.6/10,9%,2/100,1
670,Telegael,3.6/10,9%,2/100,1
671,David W. Griffith Corp.,6.7/10,100%,N/A/100,1
672,Studio Babelsberg,7.2/10,66%,49/100,11
673,Saville Productions,7.4/10,80%,54/100,1
674,Good Films,7.0/10,70%,66/100,1
675,Parkes + MacDonald Image Nation,5.9/10,20%,34/100,1
676,BenderSpink,6.4/10,38%,28/100,8
677,Campbell-Grobman Films,6.3/10,30%,36/100,1
678,Haven Entertainment,6.6/10,83%,63/100,1
679,Red Crown,6.6/10,83%,63/100,1
680,Frame Switch,6.6/10,83%,63/100,1
681,Gracie Films,6.6/10,63%,44/100,5
682,Tang Media Productions,7.4/10,95%,77/100,1
683,Wild Bunch,7.3/10,81%,31/100,8
684,Why Not Productions,6.8/10,74%,43/100,6
685,Endemol Shine Studios,6.7/10,88%,8/100,1
686,Bliss Media,6.7/10,88%,8/100,1
687,Protozoa,6.7/10,88%,8/100,1
688,IMAX Entertainment,7.6/10,100%,75/100,1
689,NASA,7.6/10,100%,75/100,1
690,D'Souza Media,5.4/10,4%,2/100,1
691,Sierra Pictures,5.6/10,38%,40/100,4
692,SureFire Capital,6.3/10,53%,52/100,1
693,Aamir Khan Productions,7.8/10,89%,66/100,3
694,UTV Motion Pictures,7.4/10,92%,69/100,5
695,Walt Disney Pictures India,8.6/10,92%,N/A/100,1
696,Baby Way Productions,4.4/10,8%,12/100,3
697,Televisa Cine,5.7/10,13%,N/A/100,1
698,Pantelion Films,6.2/10,36%,35/100,5
699,Videocine,5.7/10,13%,N/A/100,1
700,Cineville,5.6/10,N/A%,N/A/100,1
701,Handsomecharlie Films,5.8/10,42%,47/100,2
702,Head Gear Films,5.8/10,43%,45/100,1
703,Chapter One Films,4.4/10,3%,27/100,1
704,EMU Creek Pictures,4.4/10,3%,27/100,1
705,Fade to Black,7.5/10,79%,72/100,2
706,Appian Way Productions,6.9/10,53%,56/100,9
707,CodeBlack Films,5.1/10,18%,18/100,2
708,Jorva Entertainment Productions,4.9/10,27%,4/100,1
709,Flavor Unit Entertainment,4.7/10,23%,12/100,4
710,Apatow Company,6.7/10,78%,68/100,1
711,The Lonely Island,6.7/10,78%,68/100,1
712,Bazelevs,6.0/10,24%,14/100,2
713,Versus Pictures,6.7/10,N/A%,5/100,1
714,ESPN Films,6.9/10,66%,58/100,2
715,Cine Mosaic,7.3/10,81%,70/100,2
716,Mirabai Films,7.0/10,74%,67/100,4
717,Big Beach,7.1/10,77%,55/100,5
718,SharpSword Films,7.2/10,84%,79/100,1
719,Emmett/Furla/Oasis Films,7.2/10,84%,79/100,1
720,CatchPlay,7.2/10,84%,79/100,1
721,Verdi Productions,7.0/10,77%,70/100,2
722,YLK Sikelia,7.2/10,84%,79/100,1
723,Fábrica de Cine,6.6/10,78%,68/100,2
724,Transfilm International,4.7/10,8%,25/100,1
725,Canal+,7.1/10,67%,49/100,58
726,Ocs,4.7/10,8%,25/100,1
727,Cine+,6.2/10,50%,51/100,2
728,Four By Two Films,6.6/10,62%,64/100,3
729,1492 Pictures,6.2/10,45%,40/100,17
730,CJ Entertainment,6.5/10,42%,36/100,2
731,Hyde Park International,5.5/10,46%,33/100,1
732,Ocean Blue Entertainment,5.5/10,46%,33/100,1
733,Get Lifted Film Co.,6.4/10,92%,74/100,1
734,Archer Gray,7.4/10,88%,83/100,1
735,Modern People,7.4/10,88%,83/100,1
736,Defender Films,7.8/10,96%,42/100,2
737,Piki Films,7.9/10,97%,8/100,1
738,Curious,7.9/10,97%,8/100,1
739,Bruce Cohen Productions,6.8/10,70%,62/100,1
740,Magna Entertainment,6.8/10,70%,62/100,1
741,Sikelia Productions,7.1/10,59%,60/100,3
742,The Solution Entertainment Group,6.8/10,70%,62/100,1
743,Younger Than You,6.8/10,70%,62/100,1
744,WWE Studios,6.1/10,46%,18/100,5
745,Deep Underground Films,5.2/10,N/A%,3/100,1
746,Fuego Films,6.6/10,45%,54/100,1
747,Vertical Media,6.6/10,45%,54/100,1
748,Panama Film Commission,6.6/10,45%,54/100,1
749,Epicentral Studios,6.6/10,45%,54/100,1
750,The Film Arcade,6.8/10,98%,83/100,1
751,Cold Iron Pictures,6.9/10,87%,78/100,3
752,Secret Public Productions,6.8/10,98%,83/100,1
753,Primeridian Entertainment,6.0/10,73%,58/100,1
754,X-Filme Creative Pool (de),6.0/10,73%,58/100,1
755,Tadmor,7.0/10,70%,64/100,1
756,Astrakan Films AB,7.0/10,70%,64/100,1
757,Blackbird Films,7.0/10,70%,64/100,1
758,Prettybird,7.0/10,70%,64/100,1
759,Krasnoff/Foster Entertainment,6.6/10,83%,63/100,1
760,Shoebox Films,6.8/10,87%,36/100,2
761,V Creations,6.5/10,67%,N/A/100,1
762,Pressman Film,7.2/10,63%,56/100,1
763,Xeitgeist Entertainment Group,7.2/10,63%,56/100,1
764,Cayenne Pepper Productions,7.2/10,63%,56/100,1
765,Dog Eat Dog Films,7.7/10,85%,57/100,5
766,IMG Films,7.6/10,79%,64/100,1
767,Dolphin Films,4.6/10,0%,22/100,1
768,Mattel Playground Productions,4.6/10,0%,22/100,1
769,DC Comics,5.7/10,43%,52/100,3
770,Warner Bros. Animation,6.5/10,43%,N/A/100,1
771,Apaches Entertainment,7.5/10,84%,74/100,2
772,Telecinco Cinema,7.8/10,87%,82/100,3
773,Peliculas La Trini,7.5/10,86%,76/100,1
774,Faliro House Productions,6.6/10,83%,76/100,1
775,Tri-State Pictures,6.6/10,83%,76/100,1
776,New Regency Pictures,6.0/10,66%,37/100,4
777,Shangri-La Entertainment,6.6/10,60%,46/100,10
778,Tatira,5.7/10,57%,6/100,1
779,Archery Pictures,7.5/10,75%,64/100,1
780,France 2 Cinema,7.2/10,64%,59/100,4
781,Ciné+,7.0/10,68%,60/100,14
782,France Televisions,7.5/10,74%,62/100,2
783,Tre Vänner,7.7/10,91%,7/100,1
784,BFB Entertainment,6.8/10,82%,78/100,1
785,Symbolic Exchange,6.8/10,82%,78/100,1
786,X Filme Creative Pool,6.8/10,82%,78/100,1
787,Hall Monitor,6.2/10,N/A%,76/100,1
788,Locomotive,6.2/10,66%,66/100,2
789,Rachael Horovitz Productions,6.2/10,N/A%,76/100,1
790,Round Films,6.2/10,N/A%,76/100,1
791,Merced Media,8.0/10,95%,79/100,1
792,PalmStar Entertainment,7.0/10,69%,42/100,2
793,Irish Film Board,7.3/10,82%,71/100,3
794,Cosmo Films,8.0/10,95%,79/100,1
795,Distressed Films,8.0/10,95%,79/100,1
796,Broad Green Pictures,7.0/10,90%,79/100,1
797,Film Science,6.7/10,91%,80/100,2
798,Kissaki Films,7.5/10,93%,72/100,1
799,Stacey Reiss Productions,7.5/10,93%,72/100,1
800,The Ink Factory,6.4/10,68%,61/100,3
801,Potboiler Productions,6.7/10,79%,46/100,3
802,Draco Films,4.7/10,38%,28/100,1
803,22h22,7.2/10,65%,59/100,1
804,Lucky Man Films,7.2/10,65%,59/100,1
805,Dreams Salon Entertainment Culture,7.0/10,N/A%,57/100,1
806,Pegasus Motion Pictures,7.0/10,N/A%,57/100,1
807,Starbright Communications,7.0/10,N/A%,57/100,1
808,Super Hero Films,7.0/10,N/A%,57/100,1
809,Bifrost Pictures,6.4/10,N/A%,64/100,1
810,"Miles Davis Properties, LLC",6.4/10,N/A%,64/100,1
811,IM Global Films,6.4/10,N/A%,64/100,1
812,Sobini Films,6.2/10,28%,56/100,2
813,Yellowsaw Productions Limited,6.4/10,N/A%,64/100,1
814,Crescendo Productions,7.0/10,79%,53/100,4
815,Demarest,3.9/10,0%,3/100,1
816,Relativity Studios,3.9/10,0%,3/100,1
817,Cantinas Entertainment,6.3/10,60%,43/100,1
818,Grace Hill Media,6.3/10,60%,43/100,1
819,MediaWeaver Entertainment,6.3/10,60%,43/100,1
820,Hope Productions,7.8/10,90%,N/A/100,2
821,SBS Productions,7.2/10,81%,48/100,2
822,Pallas Film,7.0/10,90%,84/100,2
823,France 2 Cinéma,6.9/10,74%,64/100,9
824,Entre Chien et Loup,7.2/10,91%,89/100,1
825,France Télévisions,7.4/10,82%,64/100,5
826,Orange Cinéma Séries,7.2/10,91%,89/100,1
827,Casa Kafka Pictures,7.2/10,91%,89/100,1
828,Proximus,7.2/10,91%,89/100,1
829,Centre National de la Cinématographie,7.1/10,84%,79/100,3
830,Filmförderungsanstalt,7.2/10,91%,89/100,1
831,Haarika & Hassine Creations,7.0/10,N/A%,N/A/100,1
832,K5 International,7.2/10,90%,43/100,2
833,Le Pacte,7.4/10,96%,9/100,1
834,Inkjet Productions,7.4/10,96%,9/100,1
835,Next Entertainment World,7.5/10,95%,72/100,1
836,RedPeter Film,7.5/10,95%,72/100,1
837,Visible Pictures,5.7/10,22%,3/100,1
838,Cota Film,6.4/10,N/A%,74/100,1
839,Ministero per i Beni e le Attività Culturali,6.4/10,N/A%,74/100,1
840,Regione Siciliana,6.4/10,N/A%,74/100,1
841,Sicilia Film Commission,6.4/10,N/A%,74/100,1
842,Sensi Contemporanei Cinema e Audiovisivo,6.4/10,N/A%,74/100,1
843,Apollo Media,6.8/10,59%,26/100,2
844,Film Art Media,7.0/10,54%,47/100,1
845,Moho Film,7.5/10,95%,84/100,2
846,Yong Film,8.0/10,95%,84/100,1
847,Esperanto Kino,6.0/10,61%,5/100,1
848,CG Cinema,6.0/10,61%,5/100,1
849,Itaca Films,5.7/10,44%,20/100,2
850,Greater Productions,7.2/10,67%,35/100,1
851,Mr. Mudd,7.1/10,78%,41/100,7
852,Toho Pictures,6.7/10,83%,67/100,1
853,Cine Bazar,6.7/10,83%,67/100,1
854,Inspired Entertainment,7.8/10,75%,N/A/100,1
855,Friday FilmWorks,7.8/10,75%,N/A/100,1
856,Animal de Luz Films,5.6/10,78%,N/A/100,1
857,Azucar Films,5.6/10,78%,N/A/100,1
858,Cacerola Films,5.6/10,78%,N/A/100,1
859,Studio 8,6.3/10,45%,53/100,1
860,TriStar Productions,6.8/10,64%,30/100,2
861,Edgeline Films,7.6/10,97%,84/100,1
862,Motto Pictures,7.6/10,97%,84/100,1
863,Linson Entertainment,5.8/10,24%,4/100,1
864,Anvil Films,6.6/10,48%,41/100,3
865,Mad Riot Entertainment,5.8/10,24%,4/100,1
866,CW Media Finance,5.7/10,N/A%,47/100,1
867,Broad Street Pictures,5.5/10,82%,68/100,1
868,Boies/Schiller Film Group,5.9/10,41%,49/100,1
869,1821 Pictures,6.0/10,40%,48/100,2
870,Stone Village,5.9/10,41%,49/100,1
871,Radiate Films,6.0/10,N/A%,4/100,1
872,El Deseo,7.1/10,79%,58/100,5
873,Televisión Española (TVE),7.0/10,83%,73/100,1
874,Canal+ France,7.0/10,83%,73/100,1
875,Echo Lake Entertainment,7.2/10,62%,68/100,5
876,Ciné +,7.0/10,83%,73/100,1
877,coop99 filmproduktion,7.5/10,93%,93/100,1
878,KNM,7.5/10,93%,93/100,1
879,Missing Link Films,7.5/10,93%,93/100,1
880,SWR,7.5/10,93%,93/100,1
881,WDR,7.5/10,93%,93/100,1
882,Arte,7.4/10,82%,66/100,4
883,Desert Wolf Productions,6.5/10,52%,56/100,1
884,Michael Grandage Company,6.5/10,52%,56/100,1
885,Kaibou Productions,7.8/10,93%,7/100,1
886,LPPTV,7.8/10,93%,7/100,1
887,M6 Films,6.7/10,38%,22/100,5
888,On Animation Studios,7.8/10,93%,7/100,1
889,Onyx Films,7.8/10,93%,7/100,1
890,TouTenKartoon,7.8/10,93%,7/100,1
891,Gaumont,5.9/10,55%,36/100,3
892,Space Rocket Nation,6.2/10,58%,5/100,1
893,Danish Film Institute,6.8/10,76%,7/100,2
894,Buffalo Films,7.9/10,96%,82/100,1
895,Buffalo Producciones,7.9/10,96%,82/100,1
896,Caracol Televisión,7.9/10,96%,82/100,1
897,Ciudad Lunar Producciones,7.9/10,96%,82/100,1
898,Dago García Producciones,7.9/10,96%,82/100,1
899,MC Producciones,7.9/10,96%,82/100,1
900,Nortesur Producciones,7.9/10,96%,82/100,1
901,Ashutosh Gowariker Productions Private Limited,5.9/10,38%,39/100,1
902,Rooster Teeth,5.6/10,56%,42/100,1
903,Vinod Chopra Films,7.9/10,90%,67/100,3
904,Zee Studios,7.0/10,33%,N/A/100,1
905,Cape Of Good Films,7.0/10,33%,N/A/100,1
906,Achilles Film Productions,7.9/10,96%,N/A/100,1
907,Media Rights Capital,6.3/10,50%,38/100,17
908,Eon Productions,7.0/10,74%,27/100,5
909,Skydance Productions,6.8/10,62%,41/100,11
910,Odin,7.4/10,93%,75/100,1
911,China Movie Channel,6.6/10,56%,54/100,2
912,M Productions,6.4/10,86%,76/100,2
913,Focus Features,6.4/10,64%,61/100,5
914,United Plankton Pictures,6.5/10,74%,64/100,2
915,Crucial Films,7.9/10,87%,72/100,1
916,Broken Chair Flickz,7.9/10,87%,72/100,1
917,Flynn Picture Co.,6.0/10,50%,43/100,1
918,Kennedy Miller Mitchell,7.0/10,72%,7/100,2
919,Red Granite Pictures,6.6/10,52%,54/100,5
920,A113 Productions,6.5/10,50%,6/100,1
921,M6,6.7/10,32%,30/100,4
922,Everyman Pictures,6.3/10,50%,35/100,8
923,Bagdasarian Company,4.8/10,18%,25/100,4
924,Fuzzy Door Productions,6.4/10,49%,51/100,3
925,Scholastic Entertainment,5.9/10,64%,28/100,2
926,Happy Madison Productions,5.4/10,18%,21/100,23
927,Afterworks Limited,7.6/10,91%,8/100,1
928,Hey Eddie,5.3/10,19%,3/100,3
929,Broken Road Productions,5.7/10,27%,22/100,6
930,Kendrick Brothers Productions,6.4/10,33%,26/100,1
931,Provident Films,6.3/10,28%,35/100,6
932,Iron Horse Entertainment,5.8/10,72%,39/100,2
933,Big Kid Pictures,6.5/10,38%,32/100,4
934,Davis Entertainment Company,5.5/10,35%,33/100,7
935,Marvel Enterprises,6.1/10,51%,44/100,9
936,Shiny Penny,7.8/10,74%,68/100,1
937,FilmColony,7.0/10,65%,57/100,4
938,Kramer & Sigman Films,7.3/10,76%,66/100,2
939,Zaftig Films,6.6/10,56%,56/100,1
940,Riche Productions,7.4/10,59%,57/100,1
941,Fuqua Films,7.4/10,59%,57/100,1
942,Anarchos Productions,6.3/10,44%,32/100,3
943,Thunder Road,7.6/10,93%,82/100,1
944,First Look Media,8.0/10,97%,93/100,1
945,Rocklin/Faust Productions,8.0/10,97%,93/100,1
946,Spotlight Film,8.0/10,97%,93/100,1
947,Mayhem Pictures,6.6/10,56%,26/100,4
948,Zam Pictures,6.2/10,65%,49/100,1
949,Telefilm Canada,7.2/10,82%,60/100,8
950,Smart Entertainment,6.0/10,49%,43/100,3
951,Nuyorican Productions,4.7/10,10%,3/100,1
952,Berlanti Productions,5.8/10,27%,36/100,1
953,Pacific Standard,6.0/10,48%,40/100,2
954,Vast Entertainment,6.5/10,71%,56/100,1
955,Bazelevs Company,5.5/10,37%,36/100,3
956,HBO,6.6/10,33%,38/100,1
957,DDY Productions,6.5/10,71%,66/100,1
958,Wildwood Enterprises,6.1/10,44%,6/100,2
959,Largo Entertainment,5.3/10,10%,34/100,1
960,Levy/Abrams/Guerin Productions,5.3/10,10%,34/100,1
961,Alliance Films,6.6/10,53%,55/100,4
962,Automatik Entertainment,5.2/10,29%,44/100,2
963,"Tank Caterpillar, Inc.",5.3/10,13%,32/100,1
964,Mark Canton Productions,6.0/10,17%,34/100,1
965,Goldmann Pictures,5.8/10,41%,48/100,3
966,Brothers Dowdle,6.5/10,36%,38/100,2
967,Badwill Entertainment,5.9/10,63%,54/100,1
968,Clinica Estetico,5.9/10,63%,54/100,1
969,Hammer Films,6.0/10,55%,60/100,2
970,Exclusive Media (uncredited),4.9/10,22%,42/100,1
971,Energy Entertainment,6.6/10,60%,59/100,1
972,COTT Productions,6.9/10,42%,47/100,1
973,Enelmar Productions A.I.E.,6.9/10,42%,47/100,1
974,Spring Creek Pictures,6.2/10,29%,25/100,2
975,Kia Jam,6.9/10,42%,47/100,1
976,Tremendum Pictures,4.2/10,16%,3/100,1
977,Daybreak Films,5.7/10,9%,28/100,1
978,Giant Pictures,5.5/10,12%,28/100,2
979,Insurge Pictures,4.3/10,46%,41/100,4
980,MTV Films,6.1/10,55%,50/100,24
981,Vinyl Films,6.7/10,49%,32/100,5
982,Lutzus-Brown,7.5/10,86%,72/100,1
983,BSM Studio,7.5/10,86%,72/100,1
984,Shriver Films,7.5/10,86%,72/100,1
985,Archer Gray Productions,6.9/10,92%,77/100,2
986,Significant Productions,7.3/10,91%,78/100,2
987,i am OTHER,7.2/10,88%,72/100,1
988,Revolt Films,7.2/10,78%,65/100,2
989,Moving Picture Company,6.5/10,38%,42/100,4
990,Outlaw Sinema,5.5/10,12%,3/100,1
991,Pendle Mountain Productions,5.5/10,12%,3/100,1
992,Silverback Films,7.3/10,92%,70/100,2
993,OCS,5.2/10,16%,32/100,1
994,TF1,6.5/10,49%,39/100,5
995,TMC,5.2/10,16%,32/100,1
996,Filmnation Entertainment,8.2/10,94%,86/100,1
997,Bórd Scannán na hÉireann/Irish Film Board,8.1/10,96%,87/100,2
998,No Trace Camping,7.5/10,83%,75/100,3
999,Northern Lights Films,6.8/10,88%,79/100,2
1000,Two Flints,6.8/10,88%,79/100,2
1001,The Bridge Finance Company,6.0/10,43%,5/100,1
1002,Circle of Confusion,6.0/10,43%,5/100,1
1003,Merced Media Partners,6.0/10,43%,5/100,1
1004,PalmStar Media Capital,6.0/10,43%,5/100,1
1005,Tadmor Entertainment,6.0/10,43%,5/100,1
1006,Crescent City Pictures,6.5/10,71%,57/100,1
1007,Pure Flix Entertainment,5.0/10,28%,22/100,4
1008,Shiny Penny Productions,6.6/10,29%,42/100,1
1009,3 Arts Entertainment,6.5/10,48%,43/100,9
1010,Battle Mountain Films,6.7/10,48%,56/100,2
1011,Entertainment Film Distributors,6.6/10,29%,42/100,1
1012,Ram Bergman Productions,6.5/10,49%,50/100,2
1013,Working Title,7.0/10,68%,66/100,1
1014,Pretty Pictures,7.0/10,68%,66/100,1
1015,Revision Pictures,7.0/10,68%,66/100,1
1016,Senator Global Productions,7.0/10,68%,66/100,1
1017,Anton Capital Entertainment,6.4/10,49%,37/100,4
1018,Nostromo Pictures,5.8/10,17%,39/100,1
1019,Film 4,7.8/10,90%,80/100,2
1020,Krishwerkz Entertainment,7.8/10,94%,85/100,1
1021,On The Corner Films,7.8/10,94%,85/100,1
1022,Playmaker Films,7.8/10,94%,85/100,1
1023,Universal Music,7.8/10,94%,85/100,1
1024,Salman Khan Films,8.0/10,100%,N/A/100,1
1025,Kabir Khan Films,8.0/10,100%,N/A/100,1
1026,Toei Animation,6.9/10,53%,2/100,3
1027,Forward Pass,6.7/10,61%,42/100,5
1028,Infinitum Nihil,6.4/10,52%,55/100,3
1029,Mad Chance Productions,6.5/10,52%,55/100,3
1030,Odd Lot Entertainment,6.4/10,51%,51/100,5
1031,Jeff Rice Films,6.6/10,80%,72/100,2
1032,Part2 Pictures,6.7/10,80%,75/100,1
1033,Dragonfly Entertainment,5.3/10,35%,38/100,1
1034,Sobras International Pictures,5.3/10,35%,38/100,1
1035,Smokehouse Pictures,6.5/10,59%,53/100,7
1036,1821 Media,6.7/10,92%,77/100,1
1037,Eros International,6.8/10,72%,N/A/100,2
1038,Metanoia Films,7.3/10,34%,25/100,2
1039,Santa Fé Films,7.4/10,23%,3/100,1
1040,Woestijnvis,6.3/10,13%,24/100,1
1041,Emmett/Furla Films,6.4/10,42%,34/100,12
1042,Family Christian Entertainment,4.7/10,24%,28/100,1
1043,Giving Films,4.7/10,24%,28/100,1
1044,Rajshri Productions,4.7/10,44%,N/A/100,1
1045,The Bureau,7.0/10,97%,94/100,1
1046,Seven Network Australia,7.0/10,62%,5/100,1
1047,Hopscotch Features,6.5/10,48%,24/100,3
1048,Fear of God Films,7.0/10,62%,5/100,1
1049,Starburns Industries,7.2/10,91%,88/100,1
1050,Snoot Films,7.2/10,91%,88/100,1
1051,Brookwell-McNamara Entertainment,7.3/10,55%,5/100,1
1052,Resnick Interactive Development,7.6/10,96%,76/100,1
1053,Unison Films,7.6/10,96%,76/100,1
1054,Funny or Die,7.6/10,96%,76/100,1
1055,New Zealand Film Commission,7.6/10,94%,42/100,2
1056,Lavender Pictures,6.4/10,67%,59/100,1
1057,Core Pictures,6.4/10,67%,59/100,1
1058,Telefe Productions,8.0/10,95%,77/100,1
1059,Corner Contenidos,8.0/10,95%,77/100,1
1060,Junglee Pictures,6.8/10,73%,N/A/100,1
1061,Colour Yellow Productions,7.7/10,N/A%,N/A/100,1
1062,Covert Media,5.5/10,8%,29/100,1
1063,Venture Forth,6.5/10,55%,60/100,4
1064,Kilburn Media,7.3/10,91%,82/100,1
1065,Modern Man Films,7.3/10,91%,82/100,1
