ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
356,Ben Falcone,5.2/10,23%,22/100,2
357,Patricia Riggen,6.7/10,49%,51/100,4
358,Peter Berg,6.9/10,65%,40/100,8
359,John Hamburg,6.4/10,49%,30/100,3
360,Kirk Jones,6.3/10,42%,37/100,4
361,Edward Zwick,7.2/10,59%,58/100,5
362,Denzel Washington,7.4/10,86%,69/100,3
363,Thea Sharrock,7.4/10,56%,5/100,1
364,Josh Gordon,6.0/10,54%,53/100,3
365, Will Speck,6.0/10,54%,53/100,3
366,Justin Kurzel,6.2/10,49%,22/100,2
367,Garth Davis,8.0/10,86%,69/100,1
368,Cedric Nicolas-Troyan,6.0/10,17%,35/100,1
369,Travis Knight,7.8/10,97%,84/100,1
370,Kenneth Lonergan,7.8/10,95%,90/100,2
371,Duncan Jones,7.4/10,69%,58/100,3
372,Christian Ditter,6.0/10,47%,5/100,1
373,Jake Szymanski,6.0/10,35%,5/100,1
374,Todd Phillips,6.6/10,47%,42/100,8
375,David E. Talbert,5.1/10,34%,31/100,3
376,Jodie Foster,6.5/10,57%,55/100,1
377,Robert Zemeckis,7.0/10,67%,36/100,8
378,Henry Joost,6.0/10,60%,46/100,4
379, Ariel Schulman,6.0/10,60%,46/100,4
380,Kevin Reynolds,7.0/10,63%,6/100,2
381,Shane Black,7.4/10,86%,47/100,3
382,William Brent Bell,5.1/10,14%,25/100,3
383,Dan Mazer,5.9/10,11%,2/100,1
384,Mike Flanagan,6.2/10,78%,36/100,2
385,J Blakeson,5.2/10,15%,33/100,1
386,Ron Howard,7.0/10,58%,52/100,12
387,Garry Marshall,5.9/10,21%,32/100,7
388,Alex Proyas,6.2/10,24%,29/100,3
389,David Frankel,6.6/10,51%,51/100,4
390,Ethan Coen,7.1/10,83%,54/100,11
391, Joel Coen,7.1/10,85%,56/100,8
392,Jon Cassar,4.9/10,11%,28/100,1
393,Ben Stiller,6.4/10,55%,25/100,4
394,Barry Jenkins,7.4/10,98%,99/100,1
395,Stephen Frears,7.2/10,85%,47/100,7
396,David Mackenzie,7.6/10,97%,88/100,1
397,Jason Zada,4.8/10,10%,34/100,1
398,Timur Bekmambetov,6.1/10,44%,48/100,3
399,Robert Eggers,6.8/10,91%,83/100,1
400,Sharon Maguire,6.7/10,78%,62/100,2
401,Leslie Small,6.7/10,70%,30/100,3
402, Tim Story,6.7/10,70%,30/100,3
403,Glenn Ficarra,6.8/10,68%,62/100,4
404, John Requa,6.8/10,68%,62/100,4
405,Oliver Stone,6.3/10,51%,56/100,6
406,Dennis Gansel,5.7/10,31%,38/100,1
407,Gary Ross,7.1/10,69%,64/100,3
408,Adam Wingard,5.8/10,56%,56/100,2
409,Harold Cronk,4.6/10,12%,14/100,2
410,Peter Atencio,6.3/10,78%,63/100,1
411,Steve Carr,5.1/10,26%,27/100,8
412,Barry Sonnenfeld,5.8/10,31%,43/100,4
413,Stephen Hopkins,6.6/10,43%,49/100,3
414,Ross Katz,6.6/10,11%,26/100,1
415,Gavin Hood,6.9/10,65%,29/100,5
416,Mark Waters,6.1/10,48%,37/100,9
417,Jared Hess,6.1/10,48%,54/100,3
418,Trevor Wall,3.6/10,9%,2/100,1
419,D.W. Griffith,6.7/10,100%,N/A/100,1
420,Dexter Fletcher,7.4/10,80%,54/100,1
421,Brad Furman,6.6/10,54%,55/100,3
422,Greg Mottola,6.8/10,66%,61/100,4
423,Ariel Vromen,6.3/10,30%,36/100,1
424,Kelly Fremon Craig,7.4/10,95%,77/100,1
425,Gaspar Noé,6.0/10,39%,5/100,3
426,Pablo Larraín,6.7/10,88%,8/100,1
427,Toni Myers,7.6/10,100%,75/100,1
428,Dinesh D'Souza,5.2/10,14%,15/100,2
429, Bruce Schooley,5.4/10,4%,2/100,1
430,John Hillcoat,7.1/10,70%,62/100,4
431,Derek Cianfrance,7.3/10,75%,27/100,3
432,Nitesh Tiwari,8.6/10,92%,N/A/100,1
433,Michael Tiddes,4.4/10,8%,12/100,3
434,Nacho G. Velilla,5.7/10,13%,N/A/100,1
435,Raymond De Felitta,6.8/10,85%,72/100,3
436,Burr Steers,6.4/10,50%,50/100,4
437,Tom Ford,7.5/10,79%,72/100,2
438,Ben Affleck,7.4/10,80%,70/100,4
439,Bille Woodruff,5.2/10,24%,32/100,4
440,Akiva Schaffer,6.4/10,45%,49/100,3
441, Jorma Taccone,6.7/10,78%,68/100,1
442,Ilya Naishuller,6.7/10,N/A%,5/100,1
443,Mira Nair,6.8/10,64%,62/100,6
444,John Johnson,4.5/10,N/A%,N/A/100,1
445,Vincent Kesteloot,5.3/10,16%,36/100,1
446, Ben Stassen,5.3/10,16%,36/100,1
447,Jeff Nichols,7.1/10,90%,79/100,4
448,Martin Scorsese,7.7/10,83%,76/100,8
449,Farren Blackburn,4.7/10,8%,25/100,1
450,Louis Leterrier,6.6/10,50%,30/100,7
451,Cyrus Nowrasteh,5.5/10,46%,33/100,1
452,Richard Tanne,6.4/10,92%,74/100,1
453,Matt Ross,7.9/10,83%,72/100,1
454,Mike Mills,7.1/10,81%,53/100,3
455,Ben Younger,6.7/10,62%,61/100,3
456,Mandie Fletcher,5.4/10,59%,59/100,1
457,Jonathan Jakubowicz,6.6/10,45%,54/100,1
458,Mike Birbiglia,6.8/10,91%,45/100,2
459,Lorene Scafaria,6.5/10,55%,64/100,2
460,Karan Johar,6.8/10,76%,4/100,4
461,Tom Tykwer,7.0/10,68%,57/100,5
462,Dan Kwan,7.0/10,70%,64/100,1
463, Daniel Scheinert,7.0/10,70%,64/100,1
464,Mick Jackson,6.6/10,83%,63/100,1
465,Luke Scott,5.8/10,37%,48/100,1
466,Pa. Ranjith,6.5/10,67%,N/A/100,1
467,Matt Brown,7.2/10,63%,56/100,1
468,Michael Moore,7.7/10,85%,57/100,5
469,Stewart Hendler,4.8/10,12%,23/100,2
470,Sam Liu,6.5/10,43%,N/A/100,1
471,J.A. Bayona,7.5/10,85%,74/100,3
472,Warren Beatty,5.7/10,57%,6/100,1
473,John Madden,6.8/10,64%,49/100,6
474,Hannes Holm,7.7/10,91%,7/100,1
475,James Schamus,6.8/10,82%,78/100,1
476,Richard Linklater,7.1/10,84%,70/100,11
477,Rebecca Miller,6.2/10,N/A%,76/100,1
478,John Carney,7.8/10,91%,76/100,3
479,Jeremy Saulnier,7.0/10,90%,79/100,1
480,Otto Bell,7.5/10,93%,72/100,1
481,Susanna White,6.1/10,74%,54/100,2
482,Enrique Begné,5.2/10,58%,28/100,2
483,Sean Ellis,7.2/10,65%,59/100,1
484,Wilson Yip,7.0/10,N/A%,57/100,1
485,Don Cheadle,6.4/10,N/A%,64/100,1
486,Shakun Batra,6.8/10,86%,N/A/100,2
487,D.J. Caruso,6.0/10,29%,31/100,6
488,Michael John Warren,6.3/10,60%,43/100,1
489,Gauri Shinde,7.8/10,90%,N/A/100,2
490,Paul Verhoeven,6.9/10,64%,40/100,3
491,Trivikram Srinivas,7.0/10,N/A%,N/A/100,1
492,Maneesh Sharma,7.2/10,78%,N/A/100,1
493,Jim Jarmusch,7.2/10,83%,58/100,4
494,Sang-ho Yeon,7.5/10,95%,72/100,1
495,Brian Baugh,5.7/10,22%,3/100,1
496,Jocelyn Moorhouse,7.0/10,54%,47/100,1
497,Chan-wook Park,7.4/10,82%,71/100,2
498,Jonás Cuarón,6.0/10,61%,5/100,1
499,David Hunt,7.2/10,67%,35/100,1
500,Jean-Marc Vallée,7.3/10,78%,68/100,4
501,Hideaki Anno,6.7/10,83%,67/100,1
502, Shinji Higuch,6.7/10,83%,67/100,1
503,Neeraj Pandey,7.8/10,75%,N/A/100,1
504,Ang Lee,7.1/10,68%,60/100,8
505,Rory Feek,8.6/10,N/A%,N/A/100,1
506,Josh Kriegman,7.6/10,97%,84/100,1
507, Elyse Steinberg,7.6/10,97%,84/100,1
508,Taylor Hackford,6.5/10,46%,41/100,4
509,Marc Abraham,6.3/10,59%,52/100,2
510,Meera Menon,5.5/10,82%,68/100,1
511,Ram Madhvani,7.7/10,100%,N/A/100,1
512,Ben Smallbone,6.0/10,N/A%,4/100,1
513,Pedro Almodóvar,7.2/10,80%,56/100,7
