ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2090,Vincent Jay Miller,6.9/10,N/A%,N/A/100,1
2091,Jeff Daniels,6.5/10,50%,N/A/100,1
2092,Zeki Demirkubuz,8.4/10,N/A%,N/A/100,1
2093,David Atkins,5.8/10,38%,45/100,1
2094,Lee Stanley,6.0/10,11%,N/A/100,1
2095,Gene Cajayon,6.6/10,74%,6/100,1
2096,Joel Hershman,6.9/10,46%,46/100,1
2097,Mohsen Makhmalbaf,6.8/10,89%,76/100,1
2098,Jan Hrebejk,7.8/10,90%,69/100,1
2099,Chris Hegedus,7.0/10,92%,75/100,1
2100, Jehane Noujaim,7.0/10,92%,75/100,1
2101,Del Shores,6.8/10,37%,47/100,1
2102,Marleen Gorris,6.9/10,58%,64/100,1
2103,Melissa Martin,6.7/10,54%,54/100,1
2104,Julie Davis,6.6/10,43%,46/100,1
2105,Danis Tanovic,8.0/10,93%,84/100,1
2106,Sawant Siddhant,N/A/10,N/A%,N/A/100,1
2107,Eric Leighton,6.5/10,65%,56/100,1
2108, Ralph Zondag,6.5/10,65%,56/100,1
2109, Nick Park,7.0/10,97%,88/100,1
2110,H.B. Halicki,6.5/10,43%,N/A/100,1
2111,Stig Bergqvist,6.0/10,75%,62/100,1
2112, Paul Demeyer,6.0/10,75%,62/100,1
2113, Don Paul,6.9/10,48%,5/100,1
2114, Jeffrey Katzenberg,6.9/10,48%,5/100,1
2115,Danny Leiner,5.5/10,18%,3/100,1
2116,Jun Falkenstein,6.3/10,62%,53/100,1
2117,Michael Haigney,5.8/10,N/A%,28/100,2
2118, Kunihiko Yuyama,6.0/10,N/A%,28/100,1
2119,Joan Chen,5.5/10,19%,24/100,1
2120,Edward Norton,6.4/10,69%,6/100,1
2121,Diane Keaton,4.8/10,12%,33/100,1
2122,Matt Williams,6.8/10,35%,3/100,1
2123,Mimi Leder,7.2/10,40%,4/100,1
2124,Bonnie Hunt,6.9/10,61%,54/100,1
2125,Joe Charbanic,5.3/10,10%,22/100,1
2126,Des McAnuff,4.2/10,43%,36/100,1
2127,John Frankenheimer,5.7/10,25%,37/100,1
2128,Don Bluth,6.6/10,51%,48/100,1
2129, Gary Goldman,6.6/10,51%,48/100,1
2130, Art Vitello,6.6/10,51%,48/100,1
2131,Roger Christian,2.4/10,3%,9/100,1
2132,John Ottman,4.2/10,9%,6/100,1
2133,Kris Isacsson,4.9/10,3%,3/100,1
2134,Antony Hoffman,5.7/10,14%,34/100,1
2135,Janusz Kaminski,4.8/10,7%,6/100,1
2136,Britt Allcroft,3.8/10,19%,9/100,1
2137,Amy Heckerling,5.3/10,24%,35/100,1
2138,Billy Bob Thornton,5.8/10,32%,55/100,1
2139,Nick Gomez,5.6/10,29%,25/100,1
2140,Kimble Rendall,5.2/10,47%,N/A/100,1
2141,John Schlesinger,4.7/10,19%,25/100,1
2142,Uli Edel,5.8/10,55%,45/100,1
2143,John Weiley,6.8/10,57%,N/A/100,1
2144,Michael Dinner,5.6/10,20%,37/100,1
2145,Douglas Aarniokoski,4.6/10,11%,2/100,1
2146,Chia-Liang Liu,7.6/10,83%,74/100,1
2147,Mark Piznarski,5.0/10,17%,25/100,1
2148,Takao Okawara,6.0/10,N/A%,4/100,1
2149,Mamoru Hosoda,6.0/10,25%,2/100,1
2150, Shigeyasu Yamauchi,6.0/10,25%,2/100,1
2151,Scott Alexander,5.7/10,13%,7/100,1
2152, Larry Karaszewski,5.7/10,13%,7/100,1
2153,Hugh Hudson,5.6/10,10%,33/100,1
2154,Mike Hodges,7.2/10,98%,75/100,1
2155,Marek Kanievska,6.3/10,47%,49/100,1
2156,Mary Lambert,4.6/10,2%,4/100,1
2157,Yuri Zeltser,5.2/10,25%,N/A/100,1
2158,Fina Torres,5.3/10,34%,4/100,1
2159,Bruce Paltrow,6.0/10,20%,4/100,1
2160,Jenniphr Goodman,6.7/10,80%,7/100,1
2161,Damien O'Donnell,6.9/10,78%,74/100,1
2162,Peter M. Cohen,4.4/10,13%,N/A/100,1
2163,Alberto Pernet,6.4/10,N/A%,N/A/100,1
2164,Carlos Ávila,6.4/10,33%,32/100,1
2165,John Swanbeck,6.6/10,73%,56/100,1
2166,Sally Field,5.4/10,16%,23/100,1
2167,Andrew Bergman,5.4/10,25%,34/100,1
2168,Philip Haas,6.0/10,46%,57/100,1
2169,Richard Dutcher,6.6/10,N/A%,38/100,1
2170,Rotraut Pape,N/A/10,N/A%,N/A/100,1
2171,Jamie Babbit,6.6/10,35%,39/100,1
2172,José Luis Cuerda,7.6/10,96%,69/100,1
2173,Majid Majidi,8.2/10,87%,8/100,1
2174,Angelo Bell,7.2/10,N/A%,N/A/100,1
2175,Eric Blakeney,5.7/10,24%,42/100,1
2176,Michael Almereyda,6.0/10,57%,7/100,1
2177,Chi Muoi Lo,6.6/10,43%,46/100,1
2178,Alison Maclean,7.0/10,81%,76/100,1
2179,Robert Vince,3.8/10,20%,43/100,1
2180,Robert Adetuyi,4.4/10,8%,8/100,1
2181,Lionel Coleman,7.5/10,59%,8/100,1
2182,Emmanuelle Bercot,5.9/10,70%,57/100,1
2183,Yang Zhang,7.5/10,86%,74/100,1
2184,Greg Harrison,6.5/10,57%,54/100,1
2185,Khyentse Norbu,6.9/10,85%,7/100,1
2186,Jeroen Krabbé,7.4/10,36%,5/100,1
2187,Antonio Montagna,N/A/10,N/A%,N/A/100,1
2188,Jon Shear,7.0/10,72%,73/100,1
2189,Fenton Bailey,7.2/10,86%,69/100,1
2190, Randy Barbato,7.2/10,86%,69/100,1
